municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Ciudad Lineal;14/03/2020 07:00;87;40,22;87;40,22;79615
Madrid-Hortaleza;14/03/2020 07:00;61;32,41;62;32,95;79616
Madrid-Villaverde;14/03/2020 07:00;84;56,4;84;56,4;79617
Madrid-Villa de Vallecas;14/03/2020 07:00;85;77,02;85;77,02;79618
Madrid-Vicalvaro;14/03/2020 07:00;39;54,1;39;54,1;79619
Pozuelo de Alarcón;14/03/2020 07:00;47;54,38;48;55,54;1150
Alcorcón;14/03/2020 07:00;72;42,23;72;42,23;72
Prádena del Rincón;03/03/2020 07:00;;0;;0;1179,,
Navalcarnero;14/03/2020 07:00;19;64,85;19;64,85;967
San Agustín del Guadalix;14/03/2020 07:00;;29,9;;29,9;1296
Las Rozas de Madrid;14/03/2020 07:00;37;38,62;37;38,62;1277
Moraleja de Enmedio;14/03/2020 07:00;;38,94;;38,94;894
Valdaracete;14/03/2020 07:00;;0;;0;1551,,
Pozuelo del Rey;14/03/2020 07:00;;0;;0;1163,,
Puebla de la Sierra;14/03/2020 07:00;;0;;0;1185,,
Perales de Tajuña;14/03/2020 07:00;;0;;0;1104,,
Valdemorillo;14/03/2020 07:00;;0;;0;1603,,
Navalafuente;14/03/2020 07:00;;0;;0;0941,,
Velilla de San Antonio;14/03/2020 07:00;;32,69;;32,69;1678
Villanueva de la Cañada;14/03/2020 07:00;8;37,3;8;37,3;1760
Villanueva del Pardillo;14/03/2020 07:00;;17,46;;17,46;1776
Nuevo Baztán;14/03/2020 07:00;;31,87;;31,87;1006
Villamantilla;14/03/2020 07:00;;277,59;;277,59;1757
Villamanta;14/03/2020 07:00;;0;;0;1744,,
Cabanillas de la Sierra;14/03/2020 07:00;;0;;0;0297,,
Cenicientos;14/03/2020 07:00;;0;;0;0376,,
Puentes Viejas;14/03/2020 07:00;;147,28;;147,28;9020
Aranjuez;14/03/2020 07:00;13;21,81;13;21,81;133
Cercedilla;14/03/2020 07:00;;14,23;;14,23;382
Madrid-Arganzuela;05/03/2020 07:00;;1,3;;1,3;79602
Madrid-Chamartin;05/03/2020 07:00;9;6,17;9;6,17;79605
Madrid-Tetuan;05/03/2020 07:00;8;5,06;8;5,06;79606
Madrid-Chamberi;05/03/2020 07:00;;2,15;;2,15;79607
Madrid-Fuencarral-El Pardo;05/03/2020 07:00;;1,63;;1,63;79608
Madrid-Moncloa-Aravaca;05/03/2020 07:00;;0;;0;079609,,
Madrid-Latina;05/03/2020 07:00;;0,42;;0,42;79610
Madrid-Carabanchel;05/03/2020 07:00;;0,79;;0,79;79611
